Outbound?, Number, Time, Body
1,123,2019-12-20 11:53:53.973783,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,124,2019-12-20 11:53:54.075907,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,125,2019-12-20 11:53:54.219167,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,126,2019-12-20 11:53:54.360608,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,127,2019-12-20 11:53:54.502549,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,128,2019-12-20 11:53:54.648707,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,129,2019-12-20 11:53:54.795447,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,130,2019-12-20 11:53:54.938742,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,131,2019-12-20 11:53:55.065765,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,132,2019-12-20 11:53:55.207794,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,133,2019-12-20 11:53:55.318322,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,134,2019-12-20 11:53:55.461852,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,135,2019-12-20 11:53:55.578283,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,136,2019-12-20 11:53:55.713335,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,137,2019-12-20 11:53:55.868596,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
